Label,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
Botrytis cinerea,-0.18539163,0.20395271,0.05718065,0.32818094,-0.4177504,-0.5712323,0.31535435,0.7505018,-0.6350151,-0.17842905,0.1768454,-0.36271727,-0.006314844,-0.16821644,-0.07255796,0.086652,-0.122409225,-0.17361544,-0.34573355,-0.004417158,0.17336921,0.022353142,-0.60165554,0.069485776,-0.31520286,-0.21310215,-0.010835627,-0.18088047,-0.23386729,-0.43784505,0.18213533,0.1154267,0.5281855,-0.067245,-0.06021035,0.2741478,0.117333196,-0.6465208,-0.16559593,-0.249007,0.18594494,-0.1714059,0.5374259,-0.39448327,0.4503462,0.2032965,0.029826062,0.014109654,0.48476133,-0.45270586,0.44735035,-0.3170014,-0.08418994,-0.22133966,0.3401972,0.10115198,0.0977362,-0.09912362,0.15629132,0.50960594,0.252698,0.017240793,-0.43343493,-0.15261556,0.42508537,0.10626071,-0.37102294,0.00012242039,-0.21123531,0.52319443,-0.22869644,0.05129514,0.47661358,0.376161,0.2972147,0.29817706,0.14509116,-0.09626272,0.4010304,-0.2460065,0.09858901,0.13606049,-0.47786817,0.32320347,-0.40740734,-0.32003143,-0.15634921,-0.061359383,0.2128615,0.39098677,-0.0110015245,0.013744633,0.035316486,-0.29512224,0.10932464,-0.33369404,0.36668846,-0.011881211,0.37514985,0.13302697
Cladosporium sphaerospermum,0.1842503,0.20665269,-0.27980825,-0.32686862,0.08809959,-0.07447923,-0.1349587,-0.014273625,-0.42739463,0.045571577,-0.3453367,-0.30622113,-0.22638594,0.18758574,0.13781106,0.037772376,-0.3202542,-0.7217752,0.06547876,-0.40399382,0.07609404,0.19261235,-0.039998636,0.21350989,-0.15965916,-0.12011911,-0.20930189,-0.11391458,0.1556585,-0.21558496,0.19023591,0.31080496,0.42046368,0.15409707,-0.2820192,0.4259448,-0.2364439,0.07591097,0.32908767,-0.48974356,0.0061875666,0.13717087,0.27389365,-0.3398107,-0.065691695,-0.016734064,-0.19462326,0.5233431,0.2726337,-0.00797547,-0.09082926,-0.37483326,-0.07797735,0.0055647506,0.047447976,0.27083674,0.32456496,-0.31734917,-0.3247146,0.32755664,0.42693737,-0.0040564993,-0.008838842,-0.25011528,-0.074639246,0.22962551,-0.2376051,-0.041184723,-0.23245683,0.55090207,0.16712011,0.3139373,0.24025811,0.17443517,0.46832752,-0.009131297,0.08819918,-0.026203528,0.086120166,-0.0973913,-0.13767774,-0.14590041,-0.28731614,0.66272455,0.15192768,-0.5023027,0.22588761,0.37454098,0.1707971,0.29963285,0.3811725,-0.058564525,0.11544387,0.2298256,0.07669367,-0.012050637,-0.0017164412,-0.3971833,0.11554997,0.5343083
Fusarium culmorum,-0.37559155,0.4968993,-0.13576321,-0.5232432,-0.35333118,-0.24571384,-0.091799684,0.5581173,-0.32599083,-0.15037411,0.032611623,-0.39531264,-0.30825838,0.31190792,-0.23787592,-0.09903814,-0.3132439,-0.063011914,0.022262424,-0.50813514,-0.53843874,0.24962157,-0.013310843,0.28996125,-0.041644126,-0.17478165,0.3270035,-0.27089185,0.030074328,-0.2725909,-0.09323678,-0.00087335834,0.27732465,-0.062262695,-0.06914656,0.36290053,-0.2956246,-0.1538541,-0.16279256,-0.33891225,0.014115127,0.1084934,-0.10434178,-0.25593933,0.22242811,0.09715362,0.07007629,-0.2874721,0.66031694,0.09522313,-0.1995539,-0.0011910417,0.2497272,0.11068006,0.5117158,0.24555576,-0.20339996,-0.2619363,0.21540326,0.21522525,0.60791284,0.07746013,0.1766946,-0.038579773,0.28629115,-0.19590703,0.12113544,0.15113196,-0.5095736,0.48175168,-0.37279537,0.48496965,0.7364318,-0.1989152,0.22503456,0.09448823,-0.010546731,-0.20925833,-0.46303537,0.18590616,0.15832125,0.14655076,-0.58903193,0.28567523,-0.15670086,-0.448986,0.24565734,-0.2251788,0.4456985,0.31649825,0.089695714,0.07447391,-0.19937427,0.052164774,-0.24472336,0.3746164,0.15101272,-0.024809355,0.039056074,0.635423
Neurospora crassa,-0.31522158,0.4078636,-0.50314337,-0.048269447,-0.04372974,-0.32033813,0.080904394,0.6150747,-0.6015186,-0.44262174,-0.3641622,-0.23592554,-0.25149807,0.14435963,-0.17344402,-0.28915876,-0.24021627,-0.3901004,0.030743401,-0.29698256,-0.35786235,0.26720953,-0.13173509,0.06013398,-0.048665337,0.031988446,0.11412137,-0.21318692,-0.09666246,-0.25170758,0.0009462487,-0.019134637,0.12738977,0.093576096,0.07680404,0.22139786,-0.19451629,-0.34752706,-0.15079705,-0.5831375,0.19866934,-0.049195707,0.040496096,-0.05765154,0.12627387,0.10235311,-0.3406607,-0.1533271,0.6988933,0.2797903,-0.31989124,-0.10874782,0.21086054,0.05336478,0.323621,0.55722016,-0.14740315,0.04601479,-0.07883914,0.2306142,0.33608273,-0.32551473,-0.087477855,-0.11365288,0.136437,0.084879905,0.05924427,0.43737888,-0.43511277,0.13092925,-0.20277981,0.30224445,0.76010895,-0.3780922,0.6031335,-0.033354156,0.15569626,-0.21700563,0.07888838,0.13516125,0.22900176,0.010112055,-0.11275051,0.14554368,-0.1625406,-0.4444842,0.2311685,-0.061776545,0.36901715,0.14651093,0.1282414,-0.016519666,-0.368035,0.30332178,-0.30829382,0.027978722,0.022750111,0.46116468,0.2038729,0.51530725
Leptosphaeria maculans,0.25505555,0.19701712,0.16668256,0.012968554,0.12604716,-0.10725729,-0.1915272,0.13956015,-0.24277367,0.12062731,0.063943304,-0.4649668,-0.07330989,0.4674577,-0.42986137,0.09487614,-0.36866966,-0.4999679,0.034864277,-0.5134109,0.05380633,0.23282975,-0.118582465,0.30214715,-0.16632475,0.16966905,0.29912946,0.22511277,-0.14474784,-0.14632736,0.1832154,0.13127917,0.646523,0.3142431,-0.17236654,0.54668623,0.18060859,-0.4154234,0.36548796,-0.7533512,0.06263476,-0.44903478,-0.14052622,-0.16374978,0.1526523,0.19614963,0.028551849,0.26177177,0.087854974,-0.17949075,-0.15768085,-0.16152261,0.48512575,-0.28868592,-0.08768499,0.45488262,0.3145599,0.03676435,-0.17786078,0.14299476,0.26099512,0.23515946,-0.13678505,-0.3399764,0.14368564,0.123441935,-0.31961238,-0.106869735,-0.10606587,0.52841896,0.0476844,0.16919574,0.16764244,0.17409968,0.7661228,0.10750112,0.09272914,-0.3387258,-0.13867566,0.016080791,0.095985,-0.0994657,-0.41699353,0.87948614,0.18147103,-0.4440253,-0.027150158,0.49096116,0.5042854,-0.085393175,0.39269748,0.32457164,0.15643892,0.26466054,-0.2037827,-0.12290835,0.34927398,-0.5375426,-0.094889134,0.38917133
Penicillium digitatum,0.31656015,0.34933138,-0.18124864,-0.20441175,0.0802975,-0.045395814,0.33506465,0.32437077,-0.26479244,-0.0061892965,0.1548717,-0.24447423,-0.4622249,0.29598373,0.037965577,0.26917556,0.12757502,-0.4432653,0.09013686,-0.2541477,-0.13195872,0.16476761,-0.2426154,0.2529722,-0.20857273,-0.05617945,-0.24688916,-0.21127494,0.28314248,-0.5699662,0.12976843,0.097869635,0.5745804,0.088157386,-0.11712625,0.23082303,0.05670114,0.05042311,0.298867,-0.5340218,0.119987085,-0.14642404,0.07206789,-0.367161,0.247193,-0.08826355,0.07870521,0.331096,0.25149766,0.125586,-0.3611551,0.11195843,-0.06577611,-0.0069424827,0.11901409,0.2648214,0.37833318,-0.13143153,-0.50143856,0.5372785,0.390492,0.0007211772,-0.34729916,-0.37974873,-0.023502182,0.3006131,-0.17122695,0.030216085,-0.058845196,0.58478993,0.24011087,0.09003894,0.25266504,0.30402452,0.41110078,0.03290506,0.032409117,-0.2873401,-0.011223355,0.14614126,-0.18157116,-0.18145345,-0.4358302,0.50889117,-0.0093894,-0.32215434,0.07089905,0.70126724,-0.12153065,-0.07978573,0.35892242,-0.11841792,-0.05862598,0.3681831,0.0557602,0.023830723,0.10200282,-0.5993426,0.15430585,0.23378494
Trichoderma viride,-0.1974928,0.19980407,-0.10366728,0.13732992,0.04071046,0.064862505,0.23694687,0.6299104,-0.63945204,0.20321512,-0.2207299,-0.26170918,-0.22706881,0.6320485,-0.2942623,-0.051631153,-0.44658646,-0.43273622,-0.048912715,-0.18040508,-0.05586629,0.5047139,-0.004580434,0.31740355,0.19236821,-0.13799499,0.47187188,-0.47461852,-0.1835626,-0.4963146,-0.04651206,-0.04900939,0.0999105,-0.156762,-0.119161494,0.19293784,0.008624219,0.15117536,-0.038635653,-0.47640634,0.24201013,-0.30533025,0.08944146,-0.19529662,0.16265519,0.12095438,-0.053295854,0.16925444,0.5586829,0.12991358,-0.2163021,0.09190693,-0.27874595,-0.04175836,-0.043450095,0.38643318,0.015450373,-0.05470187,0.15282421,0.23366664,-0.037498757,0.05527719,0.23388703,-0.21762806,0.23771153,0.11621963,0.38078517,0.12747334,-0.28915432,0.17106852,-0.48280576,0.09001226,0.3292024,0.15446287,0.39438468,0.32502508,-0.28423423,-0.042899273,0.012046446,-0.23784941,0.0067434506,-0.1331152,-0.25163355,0.36586645,0.0012173543,-0.2953173,0.074564464,0.39591795,0.23858191,0.5424178,0.33649582,0.09927958,-0.204726,0.3595422,-0.15485542,0.1141303,-0.053896554,-0.29940164,0.25921443,0.40500945
Zymoseptoria tritici,-0.2901568,-0.123739526,-0.13699009,0.27803302,-0.30541176,0.04769101,0.04536709,-0.031730793,-0.63353586,-0.17345835,-0.18203099,-0.4711317,-0.25879893,0.53227705,-0.14711048,-0.042409416,-0.36387795,-0.52532876,-0.19936131,-0.31559816,-0.026858125,0.5427372,-0.18370269,0.05113982,-0.39489046,0.030430282,0.22752999,-0.32110938,-0.034693263,-0.3612083,0.2676806,0.320451,0.4276754,0.09238458,-0.35064664,0.4510959,-0.21421231,-0.14236763,-0.029013108,-0.9314253,0.074258626,-0.288473,0.1830482,-0.1866772,0.22076318,0.0012156457,-0.25055787,0.64866376,0.44338334,-0.20765208,-0.0090922015,-0.5289487,-0.11051946,-0.04041343,0.20791803,0.3557265,0.28535932,-0.39726818,-0.23205334,0.23388314,0.68213737,-0.05976785,-0.05690017,-0.20666917,0.12870465,0.53096867,-0.12495404,-0.21946141,-0.46867397,0.7311721,0.17107499,0.44431117,0.22398274,0.13432133,0.6234413,0.19806676,-0.4109702,0.054075837,-0.027148526,-0.10003106,-0.025806084,-0.20389083,-0.44508106,0.79417,0.1715125,-0.52034545,-0.118989125,0.34338933,0.065278985,0.28807965,0.29958242,-0.31627032,0.14077625,0.45032725,-0.023803376,-0.029448502,0.12543848,-0.21340902,0.036973815,0.52728885
Verticillium albo-atrum,0.15689401,0.44228625,-0.25812238,-0.23216584,0.007651096,0.0019391504,-0.15937681,0.23190226,-0.062156275,0.18333122,-0.13060097,-0.16415341,-0.1291763,0.52968085,0.05300885,0.2696607,-0.4302893,-0.65669745,0.022315698,-0.31147787,0.08615096,0.39099,-0.18887654,0.05873428,0.12887804,-0.39615995,-0.17475079,-0.1951753,-0.08946066,-0.2642015,0.3652197,0.34702227,0.45327064,0.09088618,-0.18066041,0.27745202,-0.15787402,-0.17910612,0.48590326,-0.5870403,0.1448765,0.17279188,0.30826917,-0.16754755,0.10372577,0.1415283,-0.0762327,0.40949538,0.31590304,0.06660767,-0.08233008,-0.08781974,-0.06095335,-0.02293996,0.17132044,0.31842145,0.1994486,-0.28959325,-0.3042714,0.4667099,0.37324986,0.11810736,-0.21199475,-0.082699575,0.2729554,-0.033543814,-0.020146267,-0.18339978,-0.2840162,0.48469514,0.23306489,0.21885073,0.17625317,0.15624546,0.6228252,-0.08842563,0.13346373,-0.13436498,-0.123079345,-0.04468545,-0.22258228,-0.41152447,-0.4001919,0.70170623,0.09454056,-0.26262552,-0.15565486,0.43908545,0.2682733,0.46951005,0.6870513,0.02437508,0.13341272,0.040786956,-0.0388305,0.083868235,-0.04516239,-0.3616663,-0.020172473,0.46614343
Bacillus subtilis,-0.21062168,0.18725152,-0.17047757,0.23873338,0.4654923,0.125117,-0.01247935,0.2499435,-0.47450876,-0.12476715,-0.37107003,-0.11148396,-0.012182556,0.0957956,-0.13864869,0.1749651,0.043793652,0.40104553,0.0010853943,-0.79459375,0.050742928,0.061574347,0.061315943,0.1344182,-0.27456805,0.3685328,-0.1423415,0.047861695,-0.16350758,0.032869592,0.54513025,-0.31714985,0.098284505,-0.33395973,0.29367414,-0.09106656,-0.016880227,-0.25779948,-0.22050261,-0.1982697,0.084863134,-0.13266206,0.09858504,0.027603287,-0.059567872,0.01495467,-0.02128751,0.024910936,0.0110280905,0.02225243,0.4366845,0.09312509,0.24037671,-0.17677677,-0.11532948,-0.47120404,0.13313013,-0.4827599,-0.2859917,-0.07666492,0.027491918,-0.25002578,0.069404975,-0.12943704,-0.27698916,0.43227184,0.024363883,-0.08018327,-0.4368741,0.3308682,0.19166689,0.27548242,0.16546075,0.4157851,0.75049865,-0.041276753,-0.036807332,0.29229957,0.13179305,-0.40074804,-0.2910279,-0.026648823,-0.07162132,-0.11586467,-0.023341946,0.2228821,0.31996685,0.21388213,-0.050282244,-0.0705198,0.58481497,0.23922724,0.15656725,-0.2225843,-0.2720792,-0.34309277,0.11962248,-0.043739296,0.45743135,0.34549433
